"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal","Date_median","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1","Secchi_South","Secchi_West"
2002,3,246,1.47845046694686,1.64081637145463,"2002-03-05",0.0591443218290806,12.4891357421875,"SKT",2002-03-05,2001-12-04,2002-01-06,"Yes",2002,21322.5806451613,2133.54838709677,24638.8709677419,59.6774193548387,8280.54838709677,16982.1290322581,71.6641935483871,-6642.44244482996,2002-03-01,18175,1897.5,20926.1071428571,52.3214285714286,8769.28571428571,12029.6785714286,72.3617857142857,58.0671639611472,32.7368421096551
2002,4,11,0.584631934762001,0.996771040335434,"2002-04-11",0.0859730988740921,2.59958243370056,"20mm",2002-04-11,2001-12-04,2002-01-06,"Yes",2002,14476.6666666667,2598.33333333333,18256.1,296.266666666667,4561.1,11943.2333333333,73.4453333333333,-7905.79190844538,2002-04-01,21322.5806451613,2133.54838709677,24638.8709677419,59.6774193548387,8280.54838709677,16982.1290322581,71.6641935483871,53.2219570710153,29.4788733065968
2002,11,28,3.8942088319787,4.0313047353982,"2001-11-10",0.114344574511051,14.6147480010986,"FMWT",2001-11-10,2001-12-04,2002-01-06,"No",2001,12303,2096,14754.2333333333,38.1666666666667,7141.5,8213,84.633,-6364.43794211307,2001-11-01,8370.32258064516,2002.58064516129,10742.2903225806,168.709677419355,4764.51612903226,4275.58064516129,88.0764516129032,94.5531914893617,54.2307691397752
2002,12,35,0.225029078125954,0.382409206189418,"2001-12-11",0.100381106138229,2.2895712852478,"FMWT",2001-12-11,2001-12-04,2002-01-06,"Yes",2001,27377.4193548387,2063.54838709677,32056.8709677419,1858.48387096774,9876.35483870968,24737.2580645161,73.6022580645161,-8294.30720824609,2001-12-01,12303,2096,14754.2333333333,38.1666666666667,7141.5,8213,84.633,63.9130434782609,30.9306359759645
2003,1,15,0.395910406112671,0.314425190944492,"2003-01-08",0.162321746349335,1.02466893196106,"Bay Study",2003-01-08,2002-12-17,2003-01-29,"Yes",2003,51935.4838709677,1912.90322580645,62029.0967741935,7608.41935483871,10255.2580645161,51440.935483871,62.5335483870968,-7846.23781125271,2003-01-01,29130,1988.38709677419,34398.6774193548,2667.83870967742,7580.48387096774,28885.8064516129,79.6032258064516,44.5641024983846,24.8683128575239
2003,2,226,0.504307874338289,0.588409125654604,"2003-02-20",0.0653685927391052,1.89156651496887,"SKT",2003-02-20,2002-12-17,2003-01-29,"Yes",2003,36085.7142857143,1878.92857142857,40335.0714285714,1863.21428571429,10945.3928571429,29622.8571428571,62.2960714285714,-9089.23924260353,2003-02-01,51935.4838709677,1912.90322580645,62029.0967741935,7608.41935483871,10255.2580645161,51440.935483871,62.5335483870968,60.1913045199021,40.2341771035255
2003,3,639,0.317516209059198,0.415056562976304,"2003-03-18",0.0610594749450684,1.98131036758423,"SKT",2003-03-18,2002-12-17,2003-01-29,"Yes",2003,22922.5806451613,2193.22580645161,26640.1935483871,936.838709677419,10855.9677419355,15779.6129032258,68.5129032258065,-8596.56694640358,2003-03-01,36085.7142857143,1878.92857142857,40335.0714285714,1863.21428571429,10945.3928571429,29622.8571428571,62.2960714285714,56.9463082759972,34.2690353938166
2003,4,499,0.401961208270762,0.315566076162193,"2003-04-28",0.0744681060314178,6.57241630554199,"SKT",2003-04-28,2002-12-17,2003-01-29,"Yes",2003,21586.6666666667,2667.66666666667,26890.5,1335.33333333333,4784.46666666667,22053.8666666667,71.004,-4304.23205742223,2003-04-01,22922.5806451613,2193.22580645161,26640.1935483871,936.838709677419,10855.9677419355,15779.6129032258,68.5129032258065,51.5145115780013,38.634782392564
2003,11,50,2.7305141466856,3.3682476752093,"2002-11-06",0.101823873817921,9.2169246673584,"FMWT",2002-11-06,2002-12-17,2003-01-29,"No",2002,11746.3333333333,1714.66666666667,13829.1,43.2,6943.23333333333,7333.1,84.4346666666667,-5101.17945124681,2002-11-01,9891.29032258065,1704.83870967742,12030.2903225806,193.193548387097,5980.74193548387,4203.25806451613,86.5829032258064,107.434782608696,55.1235520922539
2003,12,67,6.96031048671523,4.04675529063347,"2002-12-04",0.108561977744102,12.9301595687866,"FMWT",2002-12-04,2002-12-17,2003-01-29,"No",2002,29130,1988.38709677419,34398.6774193548,2667.83870967742,7580.48387096774,28885.8064516129,79.6032258064516,-4570.19882560829,2002-12-01,11746.3333333333,1714.66666666667,13829.1,43.2,6943.23333333333,7333.1,84.4346666666667,79.9339622945156,38.8999999935588
2004,1,1007,1.10850127587371,0.558713326505061,"2004-01-27",0.0601019039750099,7.16390180587769,"SKT",2004-01-27,2003-12-14,2004-02-21,"Yes",2004,36767.7419354839,1791.93548387097,42819.1290322581,3527.51612903226,11420.1935483871,32138.1935483871,65.1393548387097,-9245.33343545896,2004-01-01,27787.0967741935,1502.58064516129,31155.2258064516,1321.8064516129,8533.54838709677,23855.6451612903,76.3441935483871,49.3266665085157,30.8600000494719
2004,2,521,0.790073620666698,0.727583823635518,"2004-02-17",0.0859730988740921,4.12622451782227,"SKT",2004-02-17,2003-12-14,2004-02-21,"Yes",2004,44420.6896551724,2201.37931034483,75737.2413793103,27842.9310344828,10577.1034482759,68091.275862069,65.5927586206897,-8135.01256580519,2004-02-01,36767.7419354839,1791.93548387097,42819.1290322581,3527.51612903226,11420.1935483871,32138.1935483871,65.1393548387097,52.0650407550781,34.5751635373807
2004,3,253,0.382153868557436,0.270330817784199,"2004-03-09",0.0644109845161438,1.08356523513794,"SKT",2004-03-09,2003-12-14,2004-02-21,"Yes",2004,46706.4516129032,3360.64516129032,68153.3225806452,16885.1290322581,11109.6451612903,56299.5483870968,56.6948387096774,-4570.19882560829,2004-03-01,44420.6896551724,2201.37931034483,75737.2413793103,27842.9310344828,10577.1034482759,68091.275862069,65.5927586206897,47.136904631697,30.9895289072191
2004,4,190,0.194115666731408,0.160101675018427,"2004-04-19",0.0648897886276245,1.77218592166901,"SKT",2004-04-19,2003-12-14,2004-02-21,"Yes",2004,23793.3333333333,2750.66666666667,27799.8666666667,408.933333333333,4459.03333333333,22006.5,64.6463333333333,-7905.79190844538,2004-04-01,46706.4516129032,3360.64516129032,68153.3225806452,16885.1290322581,11109.6451612903,56299.5483870968,56.6948387096774,53.1205126484235,38.4936708053456
2004,11,37,1.13108998013509,2.17490671842258,"2003-11-04",0.0773429498076439,10.5743198394775,"Bay Study",2003-11-04,2003-12-14,2004-02-21,"No",2003,12450,1647,14485.4333333333,42.7666666666667,8260.16666666667,6625.46666666667,84.31,-5101.17945124681,2003-11-01,11004.8387096774,1999.03225806452,13465.6774193548,175.354838709677,7312.45161290323,4304.67741935484,88.1974193548387,71.7051281799108,61.4892473977099
