"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","pre2009"
2004,3,2004-03-09,58.7678373059947,NA,316,"preBiOp"
2004,4,2004-04-08,52.1105619022671,NA,125,"preBiOp"
2004,11,2003-11-04,50.2185165406278,NA,44,"preBiOp"
2004,12,2003-12-04,57.2502041011403,NA,96,"preBiOp"
2005,1,2005-01-27,56.3944688049249,NA,318,"preBiOp"
2005,2,2005-02-24,63.3482437516274,NA,345,"preBiOp"
2005,3,2005-03-07,64.2366030189977,NA,189,"preBiOp"
2005,4,2005-04-15,61.8904028583215,NA,149,"preBiOp"
2005,11,2004-11-22,53.0830592721238,NA,145,"preBiOp"
2005,12,2004-12-12,53.9414944701081,NA,223,"preBiOp"
2006,1,2006-01-19,62.7963888305327,NA,117,"preBiOp"
2006,2,2006-02-17,59.7474527875321,NA,301,"preBiOp"
2006,3,2006-03-16,59.1668788474286,NA,226,"preBiOp"
2006,4,2006-04-12,63.981477421574,NA,126,"preBiOp"
2006,11,2005-11-02,53.7838672552499,NA,12,"preBiOp"
2006,12,2005-12-09,53.1629810602634,NA,89,"preBiOp"
2007,1,2007-01-19,59.5370267556451,NA,385,"preBiOp"
2007,2,2007-02-07,61.5293208951746,NA,217,"preBiOp"
2007,3,2007-03-09,61.0955456260027,NA,147,"preBiOp"
2007,4,2007-04-05,64.9095095749381,NA,110,"preBiOp"
2007,11,2006-11-16,56.8987216044231,NA,11,"preBiOp"
2007,12,2006-12-18,56.7984785801653,NA,12,"preBiOp"
2008,1,2008-01-09,54.4413727372672,NA,175,"postBiOp"
2008,2,2008-02-04,62.0976269899171,NA,47,"postBiOp"
2008,3,2008-03-10,64.6195697373685,NA,77,"postBiOp"
2008,4,2008-04-10,62.4907915467717,NA,28,"postBiOp"
2008,11,2007-11-15,52.9581971370253,NA,9,"postBiOp"
2008,12,2007-12-12,53.3632949092429,NA,39,"postBiOp"
2009,1,2009-01-14,63.4568019669675,NA,595,"postBiOp"
2009,2,2009-02-13,58.8994611425449,NA,80,"postBiOp"
2009,3,2009-03-18,62.2328759549127,NA,80,"postBiOp"
2009,4,2009-04-15,63.4393808462086,NA,39,"postBiOp"
2009,11,2008-11-07,49.403565337501,NA,14,"postBiOp"
2009,12,2008-12-16,51.5873370848155,NA,13,"postBiOp"
2010,1,2010-01-14,58.2203529429011,NA,160,"postBiOp"
2010,2,2010-02-11,60.1287045422903,NA,86,"postBiOp"
2010,3,2010-03-10,67.4894872502021,NA,130,"postBiOp"
2010,4,2010-04-07,66.7673765683219,NA,137,"postBiOp"
2010,11,2009-11-18,53.5057868159413,NA,51,"postBiOp"
2010,12,2009-12-16,54.2633878576458,NA,50,"postBiOp"
2011,1,2011-01-12,63.037342623914,NA,215,"postBiOp"
2011,2,2011-02-10,63.1654638128915,NA,159,"postBiOp"
2011,3,2011-03-10,66.3647146485392,NA,125,"postBiOp"
2011,4,2011-04-06,67.7570932347259,NA,81,"postBiOp"
2011,11,2010-11-22,54.4860875580745,NA,25,"postBiOp"
2011,12,2010-12-13,55.521526318189,NA,128,"postBiOp"
2012,1,2012-01-19,59.9782782586555,NA,433,"postBiOp"
2012,2,2012-02-15,57.920168253216,NA,352,"postBiOp"
2012,3,2012-03-08,63.7259402534016,NA,462,"postBiOp"
2012,4,2012-04-05,63.4814953149324,NA,305,"postBiOp"
2012,11,2011-11-15,61.6365305665641,NA,80,"postBiOp"
2012,12,2011-12-12,52.6703949223792,NA,340,"postBiOp"
2013,1,2013-01-09,60.0820257436607,NA,157,"postBiOp"
2013,2,2013-02-06,62.6714777458201,NA,181,"postBiOp"
2013,3,2013-03-06,56.5295725035307,NA,103,"postBiOp"
2013,4,2013-04-04,53.503097846179,NA,40,"postBiOp"
2013,11,2012-11-15,51.3861548721171,NA,77,"postBiOp"
2013,12,2012-12-07,56.2795660565972,NA,79,"postBiOp"
2014,1,2014-01-16,57.5867466880899,NA,200,"postBiOp"
2014,2,2014-02-12,62.3729335406976,NA,92,"postBiOp"
2014,3,2014-03-12,73.3846453179698,NA,135,"postBiOp"
2014,4,2014-04-08,65.9270870208416,NA,49,"postBiOp"
2014,11,2013-11-07,53.561667786269,NA,21,"postBiOp"
2014,12,2013-12-14,53.8871475246274,NA,70,"postBiOp"
2015,1,2015-01-14,53.6265119337441,NA,25,"postBiOp"
2015,2,2015-02-11,52.0202392188789,NA,78,"postBiOp"
2015,3,2015-03-11,56.5671774214044,NA,7,"postBiOp"
2015,4,2015-04-07,60.5583159090356,NA,2,"postBiOp"
2015,12,2014-12-17,51.6857362741751,NA,50,"postBiOp"
2016,1,2016-01-13,51.5722375117306,NA,9,"postBiOp"
2016,2,2016-02-10,54.08006169948,NA,7,"postBiOp"
2016,3,2016-03-09,66.7114824056769,NA,8,"postBiOp"
2016,4,2016-04-04,69.3421714766759,NA,13,"postBiOp"
2016,12,2015-12-15,63.9834454846344,NA,9,"postBiOp"
2017,1,2017-01-11,52.6632421689713,NA,84,"postBiOp"
2017,2,2017-02-09,61.0511034687428,NA,60,"postBiOp"
2017,3,2017-03-08,57.8476971445741,NA,43,"postBiOp"
2017,4,2017-04-05,61.656284787525,NA,8,"postBiOp"
2017,11,2016-11-07,47.0845772042568,NA,9,"postBiOp"
2017,12,2016-12-08,49.4091038743748,NA,274,"postBiOp"
2018,1,2018-01-10,61.0716179091938,NA,20,"postBiOp"
2018,2,2018-02-08,63.5688439840473,NA,7,"postBiOp"
2018,3,2018-03-14,69.3107982685905,NA,6,"postBiOp"
2018,11,2017-11-27,61.6106747752797,NA,4,"postBiOp"
2018,12,2017-12-13,55.4989876752472,NA,8,"postBiOp"
2019,1,2019-01-26,63.5602071612475,NA,18,"postBiOp"
2019,2,2019-02-16,63.679588169655,NA,8,"postBiOp"
2019,3,2019-03-03,53.9341759858227,NA,1,"postBiOp"
2019,11,2018-11-07,77.9149587562143,NA,11,"postBiOp"
2019,12,2018-12-12,63.817018143598,NA,17,"postBiOp"
2020,1,2020-01-15,52.4079730307096,NA,4,"postBiOp"
2020,2,2020-02-12,66.9711209732963,NA,3,"postBiOp"
2020,11,2019-11-12,61.3475710504354,NA,3,"postBiOp"
2020,12,2019-12-18,60.6415755261615,NA,8,"postBiOp"
2021,1,2021-01-06,97.0047953378813,NA,1,"postBiOp"
2021,11,2020-11-09,85.6738547305409,NA,1,"postBiOp"
