"WY","Month","Region","Secchi","SampleSize_secchi"
1984,5,"North",58.6666666666667,3
1984,5,"South",54.1818181818182,11
1984,5,"West",35.528925999137,121
1984,6,"North",68,3
1984,6,"South",42.9090909090909,11
1984,6,"West",35.7213118154495,61
1984,7,"North",62.375,8
1984,7,"South",47.6279069767442,43
1984,7,"West",33.7758620381355,58
1984,8,"North",69.3333333333333,6
1984,8,"South",53.5909090909091,22
1984,8,"West",36.0555555555556,36
1984,9,"North",84.1666666666667,12
1984,9,"South",76.1621621621622,37
1984,9,"West",38.0923076923077,65
1984,10,"North",80.5555555555556,9
1984,10,"South",67.2142857142857,28
1984,10,"West",48.4032258064516,62
1984,11,"North",48.6666666666667,9
1984,11,"South",60.2083333333333,24
1984,11,"West",49.3333333333333,60
1984,12,"North",23.1428571428571,7
1984,12,"South",54,13
1984,12,"West",34.5957446808511,47
1985,1,"North",97.3333333333333,3
1985,1,"South",81,12
1985,1,"West",57.5714285714286,14
1985,2,"North",44.6666666666667,3
1985,2,"South",75.3333333333333,12
1985,2,"West",48.6333333333333,30
1985,3,"North",93.5,4
1985,3,"South",86.6,20
1985,3,"West",36.9032258064516,31
1985,4,"North",81,6
1985,4,"South",82.5833333333333,24
1985,4,"West",42.9262297681121,122
1985,5,"North",73.8333333333333,6
1985,5,"South",50.2916666666667,24
1985,5,"West",32.3888891729308,324
1985,6,"North",56.5714285714286,7
1985,6,"South",47.3142857142857,35
1985,6,"West",35.7682928719172,82
1985,7,"North",58.375,8
1985,7,"South",60.9555555555556,45
1985,7,"West",35.1756756756757,74
1985,8,"North",70.1666666666667,6
1985,8,"South",68,24
1985,8,"West",36.0714285714286,42
1985,9,"North",64.8,10
1985,9,"South",74.4722222222222,36
1985,9,"West",51.203125,64
1985,10,"North",83.75,8
1985,10,"South",63.4666666666667,15
1985,10,"West",38.5172413793103,58
1985,11,"North",78.625,8
1985,11,"South",70.3571428571429,14
1985,11,"West",40.8793103448276,58
1985,12,"North",38.375,8
1985,12,"South",50.5625,16
1985,12,"West",33.1063829787234,47
1986,1,"North",80.6666666666667,3
1986,1,"South",80.9090909090909,11
1986,1,"West",55.8947368421053,19
1986,2,"North",26,3
1986,2,"South",61,12
1986,2,"West",27.741935483871,31
1986,3,"North",16.6666666666667,3
1986,3,"South",41.1818181818182,11
1986,3,"West",21.0789473684211,38
1986,4,"North",46,3
1986,4,"South",51.5,12
1986,4,"West",38.8189658954226,116
1986,5,"North",57.3333333333333,3
1986,5,"South",44.6666666666667,15
1986,5,"West",31.711920641116,302
1986,6,"North",42.5,8
1986,6,"South",36.2285714285714,35
1986,6,"West",25.8999997138977,190
1986,7,"North",43.1666666666667,6
1986,7,"South",41.5294117647059,34
1986,7,"West",26.72,50
1986,8,"North",49,6
1986,8,"South",40.7083333333333,24
1986,8,"West",22.9565217391304,23
1986,9,"North",38.0833333333333,12
1986,9,"South",39.075,40
1986,9,"West",28.5479452054795,73
1986,10,"North",67.25,12
1986,10,"South",78.1025641025641,39
1986,10,"West",55.0641025641026,78
1986,11,"North",94.8888888888889,9
1986,11,"South",95.7647058823529,17
1986,11,"West",75.2352941176471,51
1986,12,"North",52.1111111111111,9
1986,12,"South",76,18
1986,12,"West",52.28,50
1987,1,"North",72,3
1987,1,"South",80,11
1987,1,"West",38.875,24
1987,2,"North",48,3
1987,2,"South",75.7272727272727,11
1987,2,"West",35.8275862068966,29
1987,3,"North",62,3
1987,3,"South",66.5,12
1987,3,"West",32.5333333333333,30
1987,4,"North",62.6666666666667,6
1987,4,"South",66.9166666666667,24
1987,4,"West",28.826315893625,190
1987,5,"North",66.1666666666667,6
1987,5,"South",57.4166666666667,24
1987,5,"West",38.3706066901692,313
1987,6,"North",48,8
1987,6,"South",52.8409090909091,44
1987,6,"West",35.830188656753,106
1987,7,"North",44.5714285714286,7
1987,7,"South",48.8571428571429,35
1987,7,"West",34.4042553191489,47
1987,8,"North",53.3333333333333,6
1987,8,"South",56.5416666666667,24
1987,8,"West",32.4324324324324,37
1987,9,"North",61.8333333333333,12
1987,9,"South",60.45,40
1987,9,"West",39.8676470588235,68
1987,10,"North",53.875,8
1987,10,"South",51.1785714285714,28
1987,10,"West",27.4375,64
1987,11,"North",57.4444444444444,9
1987,11,"South",63.0714285714286,28
1987,11,"West",36.2131147540984,61
1987,12,"North",67.2222222222222,9
1987,12,"South",67.3333333333333,12
1987,12,"West",43.4126984126984,63
1988,1,"North",20.6666666666667,3
1988,1,"South",47.5833333333333,12
1988,1,"West",32.8333333333333,24
1988,2,"North",77,3
1988,2,"South",75.5833333333333,12
1988,2,"West",31.1785714285714,28
1988,3,"North",66.3333333333333,6
1988,3,"South",75,23
