"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal"
2001,2,78,2.17127359677584,2.40423866642832,2001-02-06,0.0735099911689758,9.6864652633667,"FMWT"
2001,3,52,0.858819311484694,1.21435041989498,2001-03-13,0.0768637508153915,4.19117641448975,"FMWT"
2001,4,13,1.22609487233254,1.76642030502071,2001-04-11,0.0960550606250763,5.06010437011719,"Bay Study"
2001,11,86,3.52024927466761,3.41204500788665,2000-11-13,0.0754262953996658,11.0757875442505,"FMWT"
2001,12,166,2.98919377193214,3.61558045509127,2000-12-07,0.0840544626116753,12.7300338745117,"FMWT"
2002,1,263,0.351643219646845,0.321660424514061,2002-01-08,0.0835748836398125,2.85728120803833,"SKT"
2002,2,399,1.90705775613325,1.15394005902537,2002-02-05,0.102785930037498,12.6522941589355,"SKT"
2002,3,246,1.47845046694686,1.64081637145463,2002-03-05,0.0591443218290806,12.4891357421875,"SKT"
2002,4,11,0.584631934762001,0.996771040335434,2002-04-11,0.0859730988740921,2.59958243370056,"20mm"
2002,11,28,3.8942088319787,4.0313047353982,2001-11-10,0.114344574511051,14.6147480010986,"FMWT"
2002,12,35,0.225029078125954,0.382409206189418,2001-12-11,0.100381106138229,2.2895712852478,"FMWT"
2003,1,15,0.395910406112671,0.314425190944492,2003-01-08,0.162321746349335,1.02466893196106,"Bay Study"
2003,2,226,0.504307874338289,0.588409125654604,2003-02-20,0.0653685927391052,1.89156651496887,"SKT"
2003,3,639,0.317516209059198,0.415056562976304,2003-03-18,0.0610594749450684,1.98131036758423,"SKT"
2003,4,499,0.401961208270762,0.315566076162193,2003-04-28,0.0744681060314178,6.57241630554199,"SKT"
2003,11,50,2.7305141466856,3.3682476752093,2002-11-06,0.101823873817921,9.2169246673584,"FMWT"
2003,12,67,6.96031048671523,4.04675529063347,2002-12-04,0.108561977744102,12.9301595687866,"FMWT"
2004,1,1007,1.10850127587371,0.558713326505061,2004-01-27,0.0601019039750099,7.16390180587769,"SKT"
2004,2,521,0.790073620666698,0.727583823635518,2004-02-17,0.0859730988740921,4.12622451782227,"SKT"
2004,3,253,0.382153868557436,0.270330817784199,2004-03-09,0.0644109845161438,1.08356523513794,"SKT"
2004,4,190,0.194115666731408,0.160101675018427,2004-04-19,0.0648897886276245,1.77218592166901,"SKT"
2004,11,37,1.13108998013509,2.17490671842258,2003-11-04,0.0773429498076439,10.5743198394775,"Bay Study"
2004,12,49,3.67244284980151,4.31355499367509,2003-12-04,0.0902919769287109,11.2757186889648,"FMWT"
2005,1,230,0.94383289049501,0.938961115468486,2005-01-27,0.119651257991791,4.85103845596313,"SKT"
2005,2,402,0.893072993119261,0.840758118116778,2005-02-24,0.129798576235771,6.95389986038208,"SKT"
2005,3,190,0.394895086162969,0.352705940631337,2005-03-07,0.0744681060314178,1.2327538728714,"SKT"
2005,4,206,0.415221929333164,0.602176797960064,2005-04-04,0.0816568657755852,8.73074436187744,"SKT"
2005,11,35,1.39336319629635,1.85974031110746,2004-11-08,0.098458006978035,8.56085872650146,"FMWT"
2005,12,32,3.50019470276311,3.38651973234174,2004-12-02,0.106635913252831,9.54028987884521,"Bay Study"
2006,1,217,0.219721937663682,0.201119748268021,2006-01-31,0.0624958239495754,1.52907383441925,"SKT"
2006,2,209,1.07774284401793,1.86336740087584,2006-02-27,0.0414170548319817,6.86143112182617,"SKT"
2006,3,73,0.152672510951349,0.082832381660866,2006-03-16,0.0639321878552437,0.325595438480377,"SKT"
2006,4,79,0.320034495165831,0.0881413701965784,2006-04-12,0.0510033220052719,0.353745341300964,"SKT"
2006,11,8,4.90262708254158,3.62383736299507,2005-11-02,0.140937581658363,9.41018199920654,"Bay Study"
2006,12,37,2.95409552189144,3.14000760453628,2005-12-05,0.135606899857521,9.28151226043701,"Bay Study"
2007,1,270,2.4487108130146,2.90273243945197,2007-01-22,0.0931728333234787,6.76907300949097,"SKT"
2007,2,175,0.341870280929974,0.653907433792361,2007-02-07,0.0965355709195137,4.42448663711548,"SKT"
2007,3,159,0.43224208698895,0.630677454887891,2007-03-20,0.0787806883454323,4.03189659118652,"SKT"
2007,4,103,0.411658768080971,0.482690622476265,2007-04-05,0.127380564808846,2.76565003395081,"SKT"
2007,11,4,5.63109913468361,3.17379512832286,2006-11-14,1.61644423007965,9.38164520263672,"FMWT"
