"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1987,11,"1986-11-05",57.6625776895073,9.49522328943162,35,1987-02-15,1987-03-15,"No",1986,12680,2841.66666666667,16283.7,24.9666666666667,6860.33333333333,7731.66666666667,78.1794498906667,-5101.09574649139,1986-11-01,15445.1612903226,3741.29032258065,20058.064516129,20,7585.12903225806,10608.4193548387,75.8855702719355
1987,12,"1986-12-04",52.7651918890122,7.85166042286819,70,1987-02-15,1987-03-15,"No",1986,13109.6774193548,3706.12903225806,17406.1612903226,25,7260.06451612903,8986.35483870968,78.8341850625806,-4570.14028252271,1986-12-01,12680,2841.66666666667,16283.7,24.9666666666667,6860.33333333333,7731.66666666667,78.1794498906667
1988,1,"1988-01-26",59.3483132907839,NA,1,1987-12-12,1988-01-13,"Yes",1988,25400,1482.58064516129,28788.6129032258,1570.70967741935,10419.8387096774,19590.7096774194,75.8569798835484,-8154.51612903226,1988-01-01,15743.8709677419,1278.06451612903,17201.5483870968,25,8986.25806451613,9454.09677419355,82.3597563180645
1988,2,"1988-02-01",42.415740334797,6.61273084497519,3,1987-12-12,1988-01-13,"Yes",1988,12187.9310344828,1388.96551724138,13762.6551724138,16.0689655172414,10028.3793103448,3062.1724137931,86.7997885489655,-7950.09299143834,1988-02-01,25400,1482.58064516129,28788.6129032258,1570.70967741935,10419.8387096774,19590.7096774194,75.8569798835484
1988,3,"1988-03-07",62.3952868194087,10.5459858394699,4,1987-12-12,1988-01-13,"Yes",1988,11348.3870967742,2240.64516129032,13880,25.9354838709677,8502.06451612903,4480.64516129032,94.2550215964516,-6539.03225806452,1988-03-01,12187.9310344828,1388.96551724138,13762.6551724138,16.0689655172414,10028.3793103448,3062.1724137931,86.7997885489655
1988,4,"1988-04-25",54.3683843595379,NA,1,1987-12-12,1988-01-13,"Yes",1988,16886.6666666667,2145.66666666667,19369.7333333333,45.8333333333333,8651.96666666667,11417.4333333333,81.6908818586667,-6803.66666666667,1988-04-01,11348.3870967742,2240.64516129032,13880,25.9354838709677,8502.06451612903,4480.64516129032,94.2550215964516
1988,11,"1987-11-16",48.8588677020038,2.50467875167463,83,1987-12-12,1988-01-13,"No",1987,8129.33333333333,1548,9814.73333333333,24.9666666666667,5460,4291.03333333333,89.4031261546667,-4603.33333333333,1987-11-01,9509.03225806452,1369.67741935484,11024.7741935484,20.0322580645161,5935.29032258064,3761.25806451613,91.8251334154839
1988,12,"1987-12-11",48.348319904854,7.26217464002042,58,1987-12-12,1988-01-13,"No",1987,15743.8709677419,1278.06451612903,17201.5483870968,25,8986.25806451613,9454.09677419355,82.3597563180645,-7204.83870967742,1987-12-01,8129.33333333333,1548,9814.73333333333,24.9666666666667,5460,4291.03333333333,89.4031261546667
1989,1,"1989-01-05",38.597878401372,NA,1,1989-03-05,1989-03-23,"No",1989,12825.1612903226,1255.16129032258,14236.2580645161,25,10225.3548387097,3653.22580645161,90.1293266541935,-8186.24583479626,1989-01-01,12387.7419354839,1371.93548387097,13886.3548387097,25,7211.74193548387,7230.93548387097,86.0549456187097
1989,2,"1989-02-08",48.5011943733715,14.0054037600678,2,1989-03-05,1989-03-23,"No",1989,12057.1428571429,1233.92857142857,13511.3214285714,16.0714285714286,8227.96428571429,6378.53571428571,94.9332723971429,-6266.67857142857,1989-02-01,12825.1612903226,1255.16129032258,14236.2580645161,25,10225.3548387097,3653.22580645161,90.1293266541935
1989,3,"1989-03-08",57.0737996832113,7.25846506868235,5,1989-03-05,1989-03-23,"Yes",1989,43374.1935483871,2023.22580645161,47293.1935483871,427.129032258065,10283.9032258065,38928.3225806452,75.36035854,-7497.74193548387,1989-03-01,12057.1428571429,1233.92857142857,13511.3214285714,16.0714285714286,8227.96428571429,6378.53571428571,94.9332723971429
1989,4,"1989-04-19",54.4566675585437,0.0934478363970943,14,1989-03-05,1989-03-23,"Yes",1989,21273.3333333333,1915.33333333333,23897.8333333333,45.8333333333333,10568.4,11686.5,70.368483048,-8511.08148297871,1989-04-01,43374.1935483871,2023.22580645161,47293.1935483871,427.129032258065,10283.9032258065,38928.3225806452,75.36035854
1989,11,"1988-11-15",47.252507759183,3.87745696880271,22,1989-03-05,1989-03-23,"No",1988,11355.6666666667,1274.33333333333,12738.5333333333,24.9666666666667,6128.13333333333,6619.3,89.2359634173333,-5101.09574649139,1988-11-01,9314.1935483871,1126.58064516129,10518.8387096774,20.0322580645161,5716.06451612903,3141.64516129032,93.5275098680645
1989,12,"1988-12-13",47.9447098715817,4.11570189105165,19,1989-03-05,1989-03-23,"No",1988,12387.7419354839,1371.93548387097,13886.3548387097,25,7211.74193548387,7230.93548387097,86.0549456187097,-4570.14028252271,1988-12-01,11355.6666666667,1274.33333333333,12738.5333333333,24.9666666666667,6128.13333333333,6619.3,89.2359634173333
1990,3,"1990-03-05",56.3290714076493,21.5664791434748,3,1990-01-15,1990-01-17,"Yes",1990,12867.7419354839,1760.32258064516,15136.2580645161,25.9032258064516,10651.3548387097,3813.12903225806,87.7814993754839,-8591.73174480692,1990-03-01,13803.5714285714,1365.35714285714,15474.3928571429,20.2857142857143,10580.5357142857,6787.57142857143,84.1999650028571
1990,4,"1990-04-09",54.4910952201269,0.110845902430774,19,1990-01-15,1990-01-17,"Yes",1990,15271.3333333333,1309.33333333333,16966.6333333333,45.8,9784.86666666667,5922.76666666667,88.640611374,-7825.4143730581,1990-04-01,12867.7419354839,1760.32258064516,15136.2580645161,25.9032258064516,10651.3548387097,3813.12903225806,87.7814993754839
1990,11,"1989-11-13",48.7994355792433,3.24853624302355,136,1990-01-15,1990-01-17,"No",1989,14830,1404.33333333333,16503.4,24.9333333333333,10403.9,5477.8,88.4839194233333,-9460.66666666667,1989-11-01,14274.1935483871,1400.96774193548,15802.4838709677,16.9354838709677,10566.8709677419,4925.8064516129,95.1064947629032
1990,12,"1989-12-11",49.0638355222416,5.40437192048081,39,1990-01-15,1990-01-17,"No",1989,15396.7741935484,1381.29032258065,16944.9677419355,25,10465.1612903226,4399.16129032258,85.3844555545161,-8573.81343893595,1989-12-01,14830,1404.33333333333,16503.4,24.9333333333333,10403.9,5477.8,88.4839194233333
1991,1,"1991-01-09",53.1036361351663,8.98217918786603,156,1991-03-06,1991-03-22,"No",1991,8983.87096774194,816.290322580645,9894.32258064516,25,4952.16129032258,3972.93548387097,86.0875345254839,-3772.30179391967,1991-01-01,10818.3870967742,918.41935483871,11826.3225806452,25,5246.58064516129,6383.45161290323,84.2606827716129
1991,2,"1991-02-06",53.3962942669394,11.9973106843071,45,1991-03-06,1991-03-22,"No",1991,8133.21428571429,757.857142857143,8993.21428571429,16.0714285714286,4579.92857142857,7361.46428571429,84.8795022485714,-4005.75,1991-02-01,8983.87096774194,816.290322580645,9894.32258064516,25,4952.16129032258,3972.93548387097,86.0875345254839
1991,3,"1991-03-07",62.2111064624758,23.529485672819,45,1991-03-06,1991-03-22,"Yes",1991,25754.8387096774,1778.90322580645,29651.9032258065,892.806451612903,9809.77419354839,24579.3870967742,77.4136036683871,-7474.38709677419,1991-03-01,8133.21428571429,757.857142857143,8993.21428571429,16.0714285714286,4579.92857142857,7361.46428571429,84.8795022485714
1991,4,"1991-04-19",68.1901731104941,23.1596127448807,31,1991-03-06,1991-03-22,"Yes",1991,10879,1168.16666666667,12602.2666666667,45.7,7584.53333333333,3763.86666666667,86.1386909186667,-6458,1991-04-01,25754.8387096774,1778.90322580645,29651.9032258065,892.806451612903,9809.77419354839,24579.3870967742,77.4136036683871
1991,11,"1990-11-09",48.0502534290652,2.78265334775119,142,1991-03-06,1991-03-22,"No",1990,7722.66666666667,1115.33333333333,9065.23333333333,25.5666666666667,3919.9,4494.93333333333,89.0235217016667,-3317.06681665801,1990-11-01,7620.32258064516,993.193548387097,8863.06451612903,15,3641.51612903226,3405.09677419355,94.0885042532258
1991,12,"1990-12-10",53.6307584389154,12.2882160132207,16,1991-03-06,1991-03-22,"No",1990,10818.3870967742,918.41935483871,11826.3225806452,25,5246.58064516129,6383.45161290323,84.2606827716129,-4039.43701094755,1990-12-01,7722.66666666667,1115.33333333333,9065.23333333333,25.5666666666667,3919.9,4494.93333333333,89.0235217016667
1992,1,"1992-01-09",55.4041841502473,8.62896978917276,37,1992-02-14,1992-02-25,"No",1992,10440.9677419355,959.258064516129,11640.064516129,25,6432.03225806452,6413.38709677419,82.9930225432258,-5398.1935483871,1992-01-01,9259.35483870968,894.774193548387,10384.7741935484,25,3196.51612903226,7622.51612903226,85.53612267
1992,2,"1992-02-05",52.3530945665575,13.0552083919479,34,1992-02-14,1992-02-25,"No",1992,26061.3793103448,2090.75862068966,30479.1724137931,1043.1724137931,6123.37931034483,28758.8275862069,76.3848082896552,-3958.36206896552,1992-02-01,10440.9677419355,959.258064516129,11640.064516129,25,6432.03225806452,6413.38709677419,82.9930225432258
1992,3,"1992-03-17",63.6516223361948,29.4008716112289,49,1992-02-14,1992-02-25,"Yes",1992,20335.4838709677,1469.67741935484,22890.5483870968,264.967741935484,10481.1612903226,13282.6774193548,71.7984171445161,-8288.38709677419,1992-03-01,26061.3793103448,2090.75862068966,30479.1724137931,1043.1724137931,6123.37931034483,28758.8275862069,76.3848082896552
1992,4,"1992-04-14",54.2152820508265,5.93056866521051,59,1992-02-14,1992-02-25,"Yes",1992,9448.33333333333,1418.33333333333,11303.1,45.7666666666667,3164.66666666667,6258.43333333333,79.7878570163333,-2733.36105986039,1992-04-01,20335.4838709677,1469.67741935484,22890.5483870968,264.967741935484,10481.1612903226,13282.6774193548,71.7984171445161
