"date","week","month","year","waterYear","oldFlow","middleFlow","omrFlow","oldRExtrap","middleRExtrap","omrFlowExtrap"
1988-03-28,13,3,1988,1988,-2880,-2830,-5710,-2880,-2830,-5710
1988-03-29,13,3,1988,1988,-2760,-3500,-6260,-2760,-3500,-6260
1988-03-30,13,3,1988,1988,-2230,-2830,-5060,-2230,-2830,-5060
1988-03-31,13,3,1988,1988,-2130,-2490,-4620,-2130,-2490,-4620
1988-04-01,14,4,1988,1988,-2360,-2960,-5320,-2360,-2960,-5320
1988-04-02,14,4,1988,1988,-2270,-3080,-5350,-2270,-3080,-5350
1988-04-03,14,4,1988,1988,-2170,-3020,-5190,-2170,-3020,-5190
1988-04-04,14,4,1988,1988,-1820,-2730,-4550,-1820,-2730,-4550
1988-04-05,14,4,1988,1988,-2130,-2970,-5100,-2130,-2970,-5100
1988-04-06,14,4,1988,1988,-2670,-3700,-6370,-2670,-3700,-6370
1988-04-07,14,4,1988,1988,-2690,-3700,-6390,-2690,-3700,-6390
1988-04-08,15,4,1988,1988,-2810,-3370,-6180,-2810,-3370,-6180
1988-04-09,15,4,1988,1988,-2890,-3470,-6360,-2890,-3470,-6360
1988-04-10,15,4,1988,1988,-2870,-3430,-6300,-2870,-3430,-6300
1988-04-11,15,4,1988,1988,-3210,-3850,-7060,-3210,-3850,-7060
1988-04-12,15,4,1988,1988,-3080,-3960,-7040,-3080,-3960,-7040
1988-04-13,15,4,1988,1988,-2870,-3810,-6680,-2870,-3810,-6680
1988-04-14,15,4,1988,1988,-3170,-4070,-7240,-3170,-4070,-7240
1988-04-15,16,4,1988,1988,-3300,-4230,-7530,-3300,-4230,-7530
1988-04-16,16,4,1988,1988,-3240,-4190,-7430,-3240,-4190,-7430
1988-04-17,16,4,1988,1988,-3360,-4370,-7730,-3360,-4370,-7730
1988-04-18,16,4,1988,1988,-3350,-4390,-7740,-3350,-4390,-7740
1988-04-19,16,4,1988,1988,-3410,-4490,-7900,-3410,-4490,-7900
1988-04-20,16,4,1988,1988,-3130,-4230,-7360,-3130,-4230,-7360
1988-04-21,16,4,1988,1988,-3170,-4270,-7440,-3170,-4270,-7440
1988-04-22,17,4,1988,1988,-3100,-4230,-7330,-3100,-4230,-7330
1988-04-23,17,4,1988,1988,-3090,-3990,-7080,-3090,-3990,-7080
1988-04-24,17,4,1988,1988,-3440,-4330,-7770,-3440,-4330,-7770
1988-04-25,17,4,1988,1988,-3260,-4180,-7440,-3260,-4180,-7440
1988-04-26,17,4,1988,1988,-3520,-4520,-8040,-3520,-4520,-8040
1988-04-27,17,4,1988,1988,-3700,-4860,-8560,-3700,-4860,-8560
1988-04-28,17,4,1988,1988,-3120,-4080,-7200,-3120,-4080,-7200
1988-04-29,18,4,1988,1988,-2940,-3850,-6790,-2940,-3850,-6790
1988-04-30,18,4,1988,1988,-2430,-3210,-5640,-2430,-3210,-5640
1988-05-01,18,5,1988,1988,-2070,-2550,-4620,-2070,-2550,-4620
1988-05-02,18,5,1988,1988,-2210,-2710,-4920,-2210,-2710,-4920
1988-05-03,18,5,1988,1988,-2190,-2910,-5100,-2190,-2910,-5100
1988-05-04,18,5,1988,1988,-2110,-2920,-5030,-2110,-2920,-5030
1988-05-05,18,5,1988,1988,-1830,-2480,-4310,-1830,-2480,-4310
1988-05-06,19,5,1988,1988,-1970,-2510,-4480,-1970,-2510,-4480
1988-05-07,19,5,1988,1988,-2510,-3050,-5560,-2510,-3050,-5560
1988-05-08,19,5,1988,1988,-2380,-3000,-5380,-2380,-3000,-5380
1988-05-09,19,5,1988,1988,-2540,-3300,-5840,-2540,-3300,-5840
1988-05-10,19,5,1988,1988,-2820,-3630,-6450,-2820,-3630,-6450
1988-05-11,19,5,1988,1988,-3240,-4080,-7320,-3240,-4080,-7320
1988-05-12,19,5,1988,1988,-3180,-4090,-7270,-3180,-4090,-7270
1988-05-13,20,5,1988,1988,-3040,-3860,-6900,-3040,-3860,-6900
1988-05-14,20,5,1988,1988,-3790,-4110,-7900,-3790,-4110,-7900
1988-05-15,20,5,1988,1988,-4110,-4390,-8500,-4110,-4390,-8500
1988-05-16,20,5,1988,1988,-3400,-4080,-7480,-3400,-4080,-7480
1988-05-17,20,5,1988,1988,-3050,-3840,-6890,-3050,-3840,-6890
1988-05-18,20,5,1988,1988,-2600,-3290,-5890,-2600,-3290,-5890
1988-05-19,20,5,1988,1988,-2540,-3060,-5600,-2540,-3060,-5600
1988-05-20,21,5,1988,1988,-2810,-3300,-6110,-2810,-3300,-6110
1988-05-21,21,5,1988,1988,-2670,-3210,-5880,-2670,-3210,-5880
1988-05-22,21,5,1988,1988,-2160,-2900,-5060,-2160,-2900,-5060
1988-05-23,21,5,1988,1988,-2020,-2480,-4500,-2020,-2480,-4500
1988-05-24,21,5,1988,1988,-1850,-2130,-3980,-1850,-2130,-3980
1988-05-25,21,5,1988,1988,-1500,-1580,-3080,-1500,-1580,-3080
1988-05-26,21,5,1988,1988,-1500,-1670,-3170,-1500,-1670,-3170
1988-05-27,22,5,1988,1988,-1240,-1670,-2910,-1240,-1670,-2910
1988-05-28,22,5,1988,1988,-1350,-1670,-3020,-1350,-1670,-3020
1988-05-29,22,5,1988,1988,-1070,-1320,-2390,-1070,-1320,-2390
1988-05-30,22,5,1988,1988,-850,-1100,-1950,-850,-1100,-1950
1988-05-31,22,5,1988,1988,-1450,-1790,-3240,-1450,-1790,-3240
1988-06-01,22,6,1988,1988,-1940,-2500,-4440,-1940,-2500,-4440
1988-06-02,22,6,1988,1988,-2360,-3110,-5470,-2360,-3110,-5470
1988-06-03,23,6,1988,1988,-2420,-3110,-5530,-2420,-3110,-5530
1988-06-04,23,6,1988,1988,-1980,-2570,-4550,-1980,-2570,-4550
1988-06-05,23,6,1988,1988,-1700,-2170,-3870,-1700,-2170,-3870
1988-06-06,23,6,1988,1988,-1620,-2030,-3650,-1620,-2030,-3650
1988-06-07,23,6,1988,1988,-1630,-1990,-3620,-1630,-1990,-3620
1988-06-08,23,6,1988,1988,-2080,-2410,-4490,-2080,-2410,-4490
1988-06-09,23,6,1988,1988,-2640,-3180,-5820,-2640,-3180,-5820
1988-06-10,24,6,1988,1988,-2770,-3260,-6030,-2770,-3260,-6030
1988-06-11,24,6,1988,1988,-2920,-3210,-6130,-2920,-3210,-6130
1988-06-12,24,6,1988,1988,-2390,-3130,-5520,-2390,-3130,-5520
1988-06-13,24,6,1988,1988,-2210,-2780,-4990,-2210,-2780,-4990
1988-06-14,24,6,1988,1988,-1890,-2360,-4250,-1890,-2360,-4250
1988-06-15,24,6,1988,1988,-1480,-2080,-3560,-1480,-2080,-3560
1988-06-16,24,6,1988,1988,-949,-1480,-2429,-949,-1480,-2429
1988-06-17,25,6,1988,1988,-1140,-1530,-2670,-1140,-1530,-2670
1988-06-18,25,6,1988,1988,-1740,-2210,-3950,-1740,-2210,-3950
1988-06-19,25,6,1988,1988,-2720,-3270,-5990,-2720,-3270,-5990
1988-06-20,25,6,1988,1988,-2570,-3210,-5780,-2570,-3210,-5780
