"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1986,3,"1986-03-04",59.3065126771548,15.7155395414868,31,1985-12-04,1986-03-04,"Yes",1986,74983.8709677419,25035.4838709677,168596.290322581,58664.4193548387,3199.12903225806,169447.483870968,45.8980756845161,-4570.14028252271,1986-03-01,68892.8571428571,8743.57142857143,207820.035714286,115390.928571429,6074,205414.107142857,61.9742646360714
1986,4,"1986-04-19",53.761672269593,1.63908648021534,23,1985-12-04,1986-03-04,"Yes",1986,25826.6666666667,19590,50072.5333333333,1151.26666666667,4729.1,46539.0666666667,52.20319155,-7905.55414379175,1986-04-01,74983.8709677419,25035.4838709677,168596.290322581,58664.4193548387,3199.12903225806,169447.483870968,45.8980756845161
1986,11,"1985-11-08",47.6503544599527,1.43646484795404,20,1985-12-04,1986-03-04,"No",1985,10417.6666666667,1929,12680.7333333333,24.9666666666667,7330.43333333333,6889.7,89.981530705,-5101.09574649139,1985-11-01,9710.64516129032,2071.93548387097,12011.9677419355,20,7715.77419354839,3365.54838709677,92.0595459512903
1986,12,"1985-12-03",44.6332725495352,3.54139131372622,30,1985-12-04,1986-03-04,"No",1985,16106.4516129032,2205.16129032258,19091.2903225806,181.774193548387,9858.61290322581,9430.16129032258,81.8707942596774,-4570.14028252271,1985-12-01,10417.6666666667,1929,12680.7333333333,24.9666666666667,7330.43333333333,6889.7,89.981530705
1987,1,"1987-01-05",40.312064551074,2.40815327983443,6,1987-02-15,1987-03-15,"No",1987,13170.9677419355,2305.16129032258,15984.9032258065,25,6251.90322580645,10818.1612903226,77.3944753445161,-7845.99543866844,1987-01-01,13109.6774193548,3706.12903225806,17406.1612903226,25,7260.06451612903,8986.35483870968,78.8341850625806
1987,2,"1987-02-14",48.8546635009982,8.77587556443656,4,1987-02-15,1987-03-15,"No",1987,17403.5714285714,2136.07142857143,20150.2857142857,30.6428571428571,6845.35714285714,16859.1428571429,74.1258912478571,-5101.09574649139,1987-02-01,13170.9677419355,2305.16129032258,15984.9032258065,25,6251.90322580645,10818.1612903226,77.3944753445161
1987,3,"1987-03-10",51.6079436587474,9.35088066669348,18,1987-02-15,1987-03-15,"Yes",1987,21577.4193548387,3414.51612903226,26321.6774193548,219.258064516129,5600.22580645161,22915.9677419355,71.6922064948387,-4570.14028252271,1987-03-01,17403.5714285714,2136.07142857143,20150.2857142857,30.6428571428571,6845.35714285714,16859.1428571429,74.1258912478571
1987,4,"1987-04-10",53.7623549305185,2.4454813766797,41,1987-02-15,1987-03-15,"Yes",1987,11826.3333333333,2867,15165.8666666667,45.7666666666667,7100.4,6212.23333333333,76.4958668633333,-7905.55414379175,1987-04-01,21577.4193548387,3414.51612903226,26321.6774193548,219.258064516129,5600.22580645161,22915.9677419355,71.6922064948387
1987,11,"1986-11-05",59.0694304383698,8.34392723754348,35,1987-02-15,1987-03-15,"No",1986,12680,2841.66666666667,16283.7,24.9666666666667,6860.33333333333,7731.66666666667,78.1794498906667,-5101.09574649139,1986-11-01,15445.1612903226,3741.29032258065,20058.064516129,20,7585.12903225806,10608.4193548387,75.8855702719355
1987,12,"1986-12-04",53.8105813319188,7.55147232850384,70,1987-02-15,1987-03-15,"No",1986,13109.6774193548,3706.12903225806,17406.1612903226,25,7260.06451612903,8986.35483870968,78.8341850625806,-4570.14028252271,1986-12-01,12680,2841.66666666667,16283.7,24.9666666666667,6860.33333333333,7731.66666666667,78.1794498906667
1988,1,"1988-01-26",54.4263711015406,NA,1,1987-12-12,1988-01-13,"Yes",1988,25400,1482.58064516129,28788.6129032258,1570.70967741935,10419.8387096774,19590.7096774194,75.8569798835484,-8154.51612903226,1988-01-01,15743.8709677419,1278.06451612903,17201.5483870968,25,8986.25806451613,9454.09677419355,82.3597563180645
1988,2,"1988-02-01",41.2951890107413,3.4056430286151,3,1987-12-12,1988-01-13,"Yes",1988,12187.9310344828,1388.96551724138,13762.6551724138,16.0689655172414,10028.3793103448,3062.1724137931,86.7997885489655,-7950.09299143834,1988-02-01,25400,1482.58064516129,28788.6129032258,1570.70967741935,10419.8387096774,19590.7096774194,75.8569798835484
1988,3,"1988-03-07",61.3354103342067,12.4005917086323,4,1987-12-12,1988-01-13,"Yes",1988,11348.3870967742,2240.64516129032,13880,25.9354838709677,8502.06451612903,4480.64516129032,94.2550215964516,-6539.03225806452,1988-03-01,12187.9310344828,1388.96551724138,13762.6551724138,16.0689655172414,10028.3793103448,3062.1724137931,86.7997885489655
1988,4,"1988-04-25",53.4999676121076,NA,1,1987-12-12,1988-01-13,"Yes",1988,16886.6666666667,2145.66666666667,19369.7333333333,45.8333333333333,8651.96666666667,11417.4333333333,81.6908818586667,-6803.66666666667,1988-04-01,11348.3870967742,2240.64516129032,13880,25.9354838709677,8502.06451612903,4480.64516129032,94.2550215964516
1988,11,"1987-11-16",45.8243221142989,2.27992408666602,83,1987-12-12,1988-01-13,"No",1987,8129.33333333333,1548,9814.73333333333,24.9666666666667,5460,4291.03333333333,89.4031261546667,-4603.33333333333,1987-11-01,9509.03225806452,1369.67741935484,11024.7741935484,20.0322580645161,5935.29032258064,3761.25806451613,91.8251334154839
1988,12,"1987-12-11",46.7775705336792,7.66838777956515,58,1987-12-12,1988-01-13,"No",1987,15743.8709677419,1278.06451612903,17201.5483870968,25,8986.25806451613,9454.09677419355,82.3597563180645,-7204.83870967742,1987-12-01,8129.33333333333,1548,9814.73333333333,24.9666666666667,5460,4291.03333333333,89.4031261546667
1989,1,"1989-01-05",39.3289400914066,NA,1,1989-03-05,1989-03-23,"No",1989,12825.1612903226,1255.16129032258,14236.2580645161,25,10225.3548387097,3653.22580645161,90.1293266541935,-8186.24583479626,1989-01-01,12387.7419354839,1371.93548387097,13886.3548387097,25,7211.74193548387,7230.93548387097,86.0549456187097
